"density","mach","pressure","temperature","vel_x","vel_y","vel_z","Points:0","Points:1","Points:2"
1.22500e+00,1.65382e-22,1.01325e+05,2.88000e+02,5.62785e-20,0.00000e+00,0.00000e+00,5.00000e-03,0.00000e+00,0.00000e+00
1.22500e+00,2.19397e-21,1.01325e+05,2.88000e+02,7.46596e-19,0.00000e+00,0.00000e+00,1.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,9.08437e-21,1.01325e+05,2.88000e+02,3.09136e-18,0.00000e+00,0.00000e+00,2.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,6.16826e-20,1.01325e+05,2.88000e+02,-2.09902e-17,0.00000e+00,0.00000e+00,3.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,6.00768e-17,1.01325e+05,2.88000e+02,2.04438e-14,0.00000e+00,0.00000e+00,4.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.86376e-16,1.01325e+05,2.88000e+02,9.74521e-14,0.00000e+00,0.00000e+00,5.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.20919e-15,1.01325e+05,2.88000e+02,4.11481e-13,0.00000e+00,0.00000e+00,6.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,4.44865e-15,1.01325e+05,2.88000e+02,1.51385e-12,0.00000e+00,0.00000e+00,7.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.61627e-14,1.01325e+05,2.88000e+02,5.50008e-12,0.00000e+00,0.00000e+00,8.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,5.74729e-14,1.01325e+05,2.88000e+02,1.95577e-11,0.00000e+00,0.00000e+00,9.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.01013e-13,1.01325e+05,2.88000e+02,6.84036e-11,0.00000e+00,0.00000e+00,1.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.91593e-13,1.01325e+05,2.88000e+02,2.35345e-10,0.00000e+00,0.00000e+00,1.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.34151e-12,1.01325e+05,2.88000e+02,7.96802e-10,0.00000e+00,0.00000e+00,1.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,7.79777e-12,1.01325e+05,2.88000e+02,2.65353e-09,0.00000e+00,0.00000e+00,1.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.55286e-11,1.01325e+05,2.88000e+02,8.68724e-09,0.00000e+00,0.00000e+00,1.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,8.21099e-11,1.01325e+05,2.88000e+02,2.79415e-08,0.00000e+00,0.00000e+00,1.55000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.59290e-10,1.01325e+05,2.88000e+02,8.82347e-08,0.00000e+00,0.00000e+00,1.65000e-01,0.00000e+00,0.00000e+00
1.22500e+00,8.03328e-10,1.01325e+05,2.88000e+02,2.73368e-07,0.00000e+00,0.00000e+00,1.75000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.44004e-09,1.01325e+05,2.88000e+02,8.30330e-07,0.00000e+00,0.00000e+00,1.85000e-01,0.00000e+00,0.00000e+00
1.22500e+00,7.26027e-09,1.01325e+05,2.88000e+02,2.47063e-06,0.00000e+00,0.00000e+00,1.95000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.11445e-08,1.01325e+05,2.88000e+02,7.19533e-06,0.00000e+00,0.00000e+00,2.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.02194e-08,1.01325e+05,2.88000e+02,2.04923e-05,0.00000e+00,0.00000e+00,2.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.67554e-07,1.01325e+05,2.88000e+02,5.70175e-05,0.00000e+00,0.00000e+00,2.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,4.54989e-07,1.01325e+05,2.88000e+02,1.54830e-04,0.00000e+00,0.00000e+00,2.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.20447e-06,1.01325e+05,2.88000e+02,4.09874e-04,0.00000e+00,0.00000e+00,2.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,3.10472e-06,1.01325e+05,2.88000e+02,1.05652e-03,0.00000e+00,0.00000e+00,2.55000e-01,0.00000e+00,0.00000e+00
1.22499e+00,7.78255e-06,1.01324e+05,2.87999e+02,2.64835e-03,0.00000e+00,0.00000e+00,2.65000e-01,0.00000e+00,0.00000e+00
1.22498e+00,1.89450e-05,1.01322e+05,2.87998e+02,6.44683e-03,0.00000e+00,0.00000e+00,2.75000e-01,0.00000e+00,0.00000e+00
1.22495e+00,4.47190e-05,1.01319e+05,2.87995e+02,1.52175e-02,0.00000e+00,0.00000e+00,2.85000e-01,0.00000e+00,0.00000e+00
1.22487e+00,1.02194e-04,1.01311e+05,2.87988e+02,3.47752e-02,0.00000e+00,0.00000e+00,2.95000e-01,0.00000e+00,0.00000e+00
1.22472e+00,2.25711e-04,1.01293e+05,2.87974e+02,7.68048e-02,0.00000e+00,0.00000e+00,3.05000e-01,0.00000e+00,0.00000e+00
1.22441e+00,4.80963e-04,1.01257e+05,2.87945e+02,1.63653e-01,0.00000e+00,0.00000e+00,3.15000e-01,0.00000e+00,0.00000e+00
1.22379e+00,9.87001e-04,1.01185e+05,2.87886e+02,3.35804e-01,0.00000e+00,0.00000e+00,3.25000e-01,0.00000e+00,0.00000e+00
1.22262e+00,1.94722e-03,1.01049e+05,2.87776e+02,6.62368e-01,0.00000e+00,0.00000e+00,3.35000e-01,0.00000e+00,0.00000e+00
1.22049e+00,3.68743e-03,1.00803e+05,2.87576e+02,1.25389e+00,0.00000e+00,0.00000e+00,3.45000e-01,0.00000e+00,0.00000e+00
1.21682e+00,6.69448e-03,1.00380e+05,2.87233e+02,2.27505e+00,0.00000e+00,0.00000e+00,3.55000e-01,0.00000e+00,0.00000e+00
1.21080e+00,1.16438e-02,9.96874e+04,2.86669e+02,3.95316e+00,0.00000e+00,0.00000e+00,3.65000e-01,0.00000e+00,0.00000e+00
1.20141e+00,1.94026e-02,9.86122e+04,2.85793e+02,6.57722e+00,0.00000e+00,0.00000e+00,3.75000e-01,0.00000e+00,0.00000e+00
1.18750e+00,3.09993e-02,9.70286e+04,2.84496e+02,1.04845e+01,0.00000e+00,0.00000e+00,3.85000e-01,0.00000e+00,0.00000e+00
1.16791e+00,4.75632e-02,9.48150e+04,2.82670e+02,1.60350e+01,0.00000e+00,0.00000e+00,3.95000e-01,0.00000e+00,0.00000e+00
1.14160e+00,7.02466e-02,9.18738e+04,2.80214e+02,2.35792e+01,0.00000e+00,0.00000e+00,4.05000e-01,0.00000e+00,0.00000e+00
1.10784e+00,1.00153e-01,8.81498e+04,2.77050e+02,3.34273e+01,0.00000e+00,0.00000e+00,4.15000e-01,0.00000e+00,0.00000e+00
1.06630e+00,1.38290e-01,8.36428e+04,2.73125e+02,4.58280e+01,0.00000e+00,0.00000e+00,4.25000e-01,0.00000e+00,0.00000e+00
1.01713e+00,1.85555e-01,7.84107e+04,2.68417e+02,6.09586e+01,0.00000e+00,0.00000e+00,4.35000e-01,0.00000e+00,0.00000e+00
9.60923e-01,2.42749e-01,7.25633e+04,2.62930e+02,7.89289e+01,0.00000e+00,0.00000e+00,4.45000e-01,0.00000e+00,0.00000e+00
8.98652e-01,3.10625e-01,6.62497e+04,2.56687e+02,9.97923e+01,0.00000e+00,0.00000e+00,4.55000e-01,0.00000e+00,0.00000e+00
8.31518e-01,3.89923e-01,5.96429e+04,2.49746e+02,1.23562e+02,0.00000e+00,0.00000e+00,4.65000e-01,0.00000e+00,0.00000e+00
7.61431e-01,4.81567e-01,5.29215e+04,2.41999e+02,1.50218e+02,0.00000e+00,0.00000e+00,4.75000e-01,0.00000e+00,0.00000e+00
6.87889e-01,5.85625e-01,4.62721e+04,2.34214e+02,1.79715e+02,0.00000e+00,0.00000e+00,4.85000e-01,0.00000e+00,0.00000e+00
6.17037e-01,7.04699e-01,3.98665e+04,2.24961e+02,2.11941e+02,0.00000e+00,0.00000e+00,4.95000e-01,0.00000e+00,0.00000e+00
5.50697e-01,8.37633e-01,3.39395e+04,2.14588e+02,2.46045e+02,0.00000e+00,0.00000e+00,5.05000e-01,0.00000e+00,0.00000e+00
5.12552e-01,9.16453e-01,3.08298e+04,2.09433e+02,2.65944e+02,0.00000e+00,0.00000e+00,5.15000e-01,0.00000e+00,0.00000e+00
4.99137e-01,9.20016e-01,3.03965e+04,2.12039e+02,2.68634e+02,0.00000e+00,0.00000e+00,5.25000e-01,0.00000e+00,0.00000e+00
4.81122e-01,9.01488e-01,3.04028e+04,2.20024e+02,2.68135e+02,0.00000e+00,0.00000e+00,5.35000e-01,0.00000e+00,0.00000e+00
4.53687e-01,8.72862e-01,3.03967e+04,2.33283e+02,2.67328e+02,0.00000e+00,0.00000e+00,5.45000e-01,0.00000e+00,0.00000e+00
4.20532e-01,8.37966e-01,3.03250e+04,2.51081e+02,2.66251e+02,0.00000e+00,0.00000e+00,5.55000e-01,0.00000e+00,0.00000e+00
3.87095e-01,8.00962e-01,3.01549e+04,2.71239e+02,2.64513e+02,0.00000e+00,0.00000e+00,5.65000e-01,0.00000e+00,0.00000e+00
3.57520e-01,7.65077e-01,2.98240e+04,2.90454e+02,2.61458e+02,0.00000e+00,0.00000e+00,5.75000e-01,0.00000e+00,0.00000e+00
3.33288e-01,7.30766e-01,2.92299e+04,3.05365e+02,2.56063e+02,0.00000e+00,0.00000e+00,5.85000e-01,0.00000e+00,0.00000e+00
3.13293e-01,6.94996e-01,2.82303e+04,3.13744e+02,2.46847e+02,0.00000e+00,0.00000e+00,5.95000e-01,0.00000e+00,0.00000e+00
2.94832e-01,6.51727e-01,2.66663e+04,3.14919e+02,2.31912e+02,0.00000e+00,0.00000e+00,6.05000e-01,0.00000e+00,0.00000e+00
2.74954e-01,5.93249e-01,2.44241e+04,3.09294e+02,2.09209e+02,0.00000e+00,0.00000e+00,6.15000e-01,0.00000e+00,0.00000e+00
2.51863e-01,5.12397e-01,2.15376e+04,2.97745e+02,1.77291e+02,0.00000e+00,0.00000e+00,6.25000e-01,0.00000e+00,0.00000e+00
2.26084e-01,4.06586e-01,1.82922e+04,2.81714e+02,1.36841e+02,0.00000e+00,0.00000e+00,6.35000e-01,0.00000e+00,0.00000e+00
2.00711e-01,2.84287e-01,1.52185e+04,2.64006e+02,9.26234e+01,0.00000e+00,0.00000e+00,6.45000e-01,0.00000e+00,0.00000e+00
1.79909e-01,1.68475e-01,1.28537e+04,2.48764e+02,5.32829e+01,0.00000e+00,0.00000e+00,6.55000e-01,0.00000e+00,0.00000e+00
1.66134e-01,8.39764e-02,1.13983e+04,2.38888e+02,2.60263e+01,0.00000e+00,0.00000e+00,6.65000e-01,0.00000e+00,0.00000e+00
1.58730e-01,3.64974e-02,1.06633e+04,2.33908e+02,1.11929e+01,0.00000e+00,0.00000e+00,6.75000e-01,0.00000e+00,0.00000e+00
1.55354e-01,1.45479e-02,1.03409e+04,2.31764e+02,4.44100e+00,0.00000e+00,0.00000e+00,6.85000e-01,0.00000e+00,0.00000e+00
1.53969e-01,5.51043e-03,1.02109e+04,2.30911e+02,1.67906e+00,0.00000e+00,0.00000e+00,6.95000e-01,0.00000e+00,0.00000e+00
1.53434e-01,2.01885e-03,1.01612e+04,2.30587e+02,6.14722e-01,0.00000e+00,0.00000e+00,7.05000e-01,0.00000e+00,0.00000e+00
1.53235e-01,7.20790e-04,1.01427e+04,2.30466e+02,2.19417e-01,0.00000e+00,0.00000e+00,7.15000e-01,0.00000e+00,0.00000e+00
1.53164e-01,2.51530e-04,1.01361e+04,2.30423e+02,7.65617e-02,0.00000e+00,0.00000e+00,7.25000e-01,0.00000e+00,0.00000e+00
1.53138e-01,8.58968e-05,1.01337e+04,2.30408e+02,2.61447e-02,0.00000e+00,0.00000e+00,7.35000e-01,0.00000e+00,0.00000e+00
1.53129e-01,2.87230e-05,1.01329e+04,2.30403e+02,8.74241e-03,0.00000e+00,0.00000e+00,7.45000e-01,0.00000e+00,0.00000e+00
1.53126e-01,9.40868e-06,1.01326e+04,2.30401e+02,2.86371e-03,0.00000e+00,0.00000e+00,7.55000e-01,0.00000e+00,0.00000e+00
1.53125e-01,3.02026e-06,1.01325e+04,2.30400e+02,9.19270e-04,0.00000e+00,0.00000e+00,7.65000e-01,0.00000e+00,0.00000e+00
1.53125e-01,9.50493e-07,1.01325e+04,2.30400e+02,2.89300e-04,0.00000e+00,0.00000e+00,7.75000e-01,0.00000e+00,0.00000e+00
1.53125e-01,2.93379e-07,1.01325e+04,2.30400e+02,8.92952e-05,0.00000e+00,0.00000e+00,7.85000e-01,0.00000e+00,0.00000e+00
1.53125e-01,8.88542e-08,1.01325e+04,2.30400e+02,2.70444e-05,0.00000e+00,0.00000e+00,7.95000e-01,0.00000e+00,0.00000e+00
1.53125e-01,2.64177e-08,1.01325e+04,2.30400e+02,8.04072e-06,0.00000e+00,0.00000e+00,8.05000e-01,0.00000e+00,0.00000e+00
1.53125e-01,7.71408e-09,1.01325e+04,2.30400e+02,2.34792e-06,0.00000e+00,0.00000e+00,8.15000e-01,0.00000e+00,0.00000e+00
1.53125e-01,2.21334e-09,1.01325e+04,2.30400e+02,6.73670e-07,0.00000e+00,0.00000e+00,8.25000e-01,0.00000e+00,0.00000e+00
1.53125e-01,6.24294e-10,1.01325e+04,2.30400e+02,1.90015e-07,0.00000e+00,0.00000e+00,8.35000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.73184e-10,1.01325e+04,2.30400e+02,5.27116e-08,0.00000e+00,0.00000e+00,8.45000e-01,0.00000e+00,0.00000e+00
1.53125e-01,4.72714e-11,1.01325e+04,2.30400e+02,1.43879e-08,0.00000e+00,0.00000e+00,8.55000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.27014e-11,1.01325e+04,2.30400e+02,3.86591e-09,0.00000e+00,0.00000e+00,8.65000e-01,0.00000e+00,0.00000e+00
1.53125e-01,3.36093e-12,1.01325e+04,2.30400e+02,1.02296e-09,0.00000e+00,0.00000e+00,8.75000e-01,0.00000e+00,0.00000e+00
1.53125e-01,8.76155e-13,1.01325e+04,2.30400e+02,2.66674e-10,0.00000e+00,0.00000e+00,8.85000e-01,0.00000e+00,0.00000e+00
1.53125e-01,2.25151e-13,1.01325e+04,2.30400e+02,6.85288e-11,0.00000e+00,0.00000e+00,8.95000e-01,0.00000e+00,0.00000e+00
1.53125e-01,5.70795e-14,1.01325e+04,2.30400e+02,1.73732e-11,0.00000e+00,0.00000e+00,9.05000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.42209e-14,1.01325e+04,2.30400e+02,4.32839e-12,0.00000e+00,0.00000e+00,9.15000e-01,0.00000e+00,0.00000e+00
1.53125e-01,3.51820e-15,1.01325e+04,2.30400e+02,1.07083e-12,0.00000e+00,0.00000e+00,9.25000e-01,0.00000e+00,0.00000e+00
1.53125e-01,8.52440e-16,1.01325e+04,2.30400e+02,2.59456e-13,0.00000e+00,0.00000e+00,9.35000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.77997e-16,1.01325e+04,2.30400e+02,5.41766e-14,0.00000e+00,0.00000e+00,9.45000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.37105e-17,1.01325e+04,2.30400e+02,4.17305e-15,0.00000e+00,0.00000e+00,9.55000e-01,0.00000e+00,0.00000e+00
1.53125e-01,3.57722e-21,1.01325e+04,2.30400e+02,1.08879e-18,0.00000e+00,0.00000e+00,9.65000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.61889e-21,1.01325e+04,2.30400e+02,-4.92738e-19,0.00000e+00,0.00000e+00,9.75000e-01,0.00000e+00,0.00000e+00
1.53125e-01,1.48174e-22,1.01325e+04,2.30400e+02,4.50994e-20,0.00000e+00,0.00000e+00,9.85000e-01,0.00000e+00,0.00000e+00
1.53125e-01,2.71433e-23,1.01325e+04,2.30400e+02,8.26157e-21,0.00000e+00,0.00000e+00,9.95000e-01,0.00000e+00,0.00000e+00
